,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,Duration,B365W,B365L,WServeRating,WAces,WDoubleFaults,W1stServe,W1stServePointsWon,W2ndServePointsWon,WServicePointsWon,WReturnRating,W1stServeReturnPointsWon,W2ndServeReturnPointsWon,WReturnPointsWon,LServeRating,LAces,LDoubleFaults,L1stServe,L1stServePointsWon,L2ndServePointsWon,LServicePointsWon,LReturnRating,L1stServeReturnPointsWon,L2ndServeReturnPointsWon,LReturnPointsWon
0,Qatar ExxonMobil Open,1/5/2019,ATP250,Outdoor,Hard,Final,3,Roberto Bautista Agut,Tomas Berdych,24,71,6,4,3,6,6,3,,,,,2,1,Completed,01:55:34,1.61,2.38,304,5,0,71%,72%,64%,69%,111,24%,48%,33%,275,3,3,62%,76%,52%,67%,88,28%,36%,31%
1,Qatar ExxonMobil Open,1/4/2019,ATP250,Outdoor,Hard,Semifinals,3,Roberto Bautista Agut,Novak Djokovic,24,1,3,6,7,6,6,4,,,,,2,1,Completed,02:35:31,5.00,1.19,297,7,0,75%,79%,50%,72%,106,33%,36%,34%,287,9,3,63%,67%,64%,66%,134,21%,50%,28%
2,Qatar ExxonMobil Open,1/4/2019,ATP250,Outdoor,Hard,Semifinals,3,Tomas Berdych,Marco Cecchinato,71,20,7,6,6,3,,,,,,,2,0,Completed,01:29:54,1.47,2.76,320,12,0,64%,76%,78%,77%,122,35%,45%,39%,263,5,4,62%,65%,55%,61%,88,24%,22%,23%
3,Qatar ExxonMobil Open,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Novak Djokovic,Nikoloz Basilashvili,1,21,4,6,6,3,6,4,,,,,2,1,Completed,01:56:11,1.08,9.13,274,7,3,66%,72%,52%,65%,170,28%,57%,38%,253,4,3,66%,72%,43%,62%,146,28%,48%,35%
4,Qatar ExxonMobil Open,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Marco Cecchinato,Dusan Lajovic,20,48,7,6,6,2,,,,,,,2,0,Completed,01:13:57,2.58,1.53,336,4,0,80%,77%,75%,76%,134,28%,57%,35%,277,6,1,77%,72%,43%,65%,48,23%,25%,24%
5,Qatar ExxonMobil Open,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Roberto Bautista Agut,Stan Wawrinka,24,66,6,4,6,4,,,,,,,2,0,Completed,01:45:01,2.11,1.76,298,2,1,76%,74%,47%,67%,120,37%,49%,42%,260,7,0,59%,63%,51%,58%,79,26%,53%,33%
6,Qatar ExxonMobil Open,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Tomas Berdych,Pierre-Hugues Herbert,71,55,6,2,6,4,,,,,,,2,0,Completed,01:11:00,1.50,2.68,314,6,0,67%,91%,50%,77%,172,39%,50%,42%,247,5,2,67%,61%,50%,58%,59,9%,50%,23%
7,Qatar ExxonMobil Open,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Novak Djokovic,Marton Fucsovics,1,36,4,6,6,4,6,1,,,,,2,1,Completed,02:00:25,1.04,13.15,293,5,1,71%,74%,59%,69%,185,38%,50%,42%,246,6,3,62%,62%,50%,58%,131,26%,41%,31%
8,Qatar ExxonMobil Open,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Marco Cecchinato,Guido Pella,20,58,,,,,,,,,,,0,0,Walkover,,2.02,1.79,,,,,,,,,,,,,,,,,,,,,,
9,Qatar ExxonMobil Open,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Nikoloz Basilashvili,Andrey Rublev,21,68,6,3,6,4,,,,,,,2,0,Completed,01:01:23,2.01,1.81,259,8,8,60%,86%,33%,65%,241,32%,65%,47%,215,6,4,55%,68%,35%,53%,151,14%,67%,35%
10,Qatar ExxonMobil Open,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Roberto Bautista Agut,Guillermo Garcia-Lopez,24,105,6,1,6,4,,,,,,,2,0,Completed,01:10:16,1.23,4.27,302,2,0,67%,76%,69%,73%,227,38%,82%,53%,194,2,4,65%,63%,18%,47%,91,24%,31%,27%
11,Qatar ExxonMobil Open,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Tomas Berdych,Fernando Verdasco,71,28,4,6,6,3,7,5,,,,,2,1,Completed,02:13:33,1.70,2.19,273,3,2,66%,75%,50%,66%,146,33%,58%,42%,254,9,3,66%,67%,42%,58%,153,25%,50%,34%
12,Qatar ExxonMobil Open,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Pierre-Hugues Herbert,Maximilian Marterer,55,74,6,3,6,7,7,6,,,,,2,1,Completed,02:29:41,1.70,2.18,319,9,2,66%,78%,68%,75%,83,23%,37%,28%,312,14,3,68%,77%,63%,72%,54,22%,32%,25%
13,Qatar ExxonMobil Open,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Dusan Lajovic,Ricardas Berankis,48,116,7,6,0,6,7,5,,,,,2,1,Completed,02:11:24,1.72,2.14,255,8,2,73%,66%,44%,60%,146,26%,57%,38%,261,4,2,62%,74%,43%,62%,165,34%,56%,40%
14,Qatar ExxonMobil Open,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Stan Wawrinka,Nicolas Jarry,66,43,6,4,7,6,,,,,,,2,0,Completed,01:28:36,1.38,3.11,311,5,1,49%,93%,65%,79%,97,19%,52%,30%,292,9,3,67%,81%,48%,70%,42,7%,35%,21%
15,Qatar ExxonMobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Novak Djokovic,Damir Dzumhur,1,47,6,1,6,2,,,,,,,2,0,Completed,00:55:33,1.04,13.47,313,3,2,62%,81%,69%,76%,219,35%,77%,54%,182,0,2,54%,65%,23%,46%,50,19%,31%,24%
16,Qatar ExxonMobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Pierre-Hugues Herbert,Dominic Thiem,55,8,6,3,7,5,,,,,,,2,0,Completed,01:26:26,3.88,1.27,310,6,0,65%,80%,59%,73%,162,32%,43%,37%,267,4,2,60%,68%,57%,63%,61,20%,41%,27%
17,Qatar ExxonMobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Stan Wawrinka,Karen Khachanov,66,11,7,6,6,4,,,,,,,2,0,Completed,01:42:36,2.93,1.42,295,7,1,57%,73%,59%,67%,102,22%,38%,27%,305,6,0,69%,78%,62%,73%,68,27%,41%,33%
18,Qatar ExxonMobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Marco Cecchinato,Sergiy Stakhovsky,20,134,6,4,6,2,,,,,,,2,0,Completed,01:22:37,2.19,1.69,303,5,3,75%,83%,43%,73%,158,41%,57%,46%,244,6,3,73%,59%,43%,54%,74,17%,57%,27%
19,Qatar ExxonMobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Ricardas Berankis,David Goffin,116,22,3,6,6,4,7,6,,,,,2,1,Completed,02:18:41,3.36,1.34,274,6,3,63%,67%,55%,63%,120,33%,46%,38%,281,11,2,64%,67%,54%,62%,131,33%,45%,38%
20,Qatar ExxonMobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Marton Fucsovics,Marius Copil,36,60,6,3,6,2,,,,,,,2,0,Completed,01:12:13,1.65,2.28,301,1,2,59%,75%,68%,72%,183,41%,58%,47%,217,0,3,64%,59%,42%,53%,57,25%,32%,28%
21,Qatar ExxonMobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Guillermo Garcia-Lopez,Mubarak Shannan Zayid,105,N/A,6,1,6,3,,,,,,,2,0,Completed,01:01:47,1.02,19.22,342,1,0,68%,81%,92%,85%,192,43%,59%,51%,205,6,2,53%,57%,41%,49%,27,19%,8%,15%
22,Qatar ExxonMobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Dusan Lajovic,Adrian Mannarino,48,42,6,3,7,6,,,,,,,2,0,Completed,01:35:59,1.73,2.13,274,3,1,75%,69%,47%,64%,174,32%,52%,39%,249,3,2,62%,68%,48%,61%,127,31%,53%,36%
23,Qatar ExxonMobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Guido Pella,Cem Ilkel,58,249,7,6,6,3,,,,,,,2,0,Completed,01:47:18,1.21,4.56,294,5,1,73%,75%,61%,71%,162,40%,59%,46%,238,3,1,65%,60%,41%,54%,182,25%,39%,29%
24,Qatar ExxonMobil Open,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Nikoloz Basilashvili,Albert Ramos-Vinolas,21,65,6,1,1,6,6,1,,,,,2,1,Completed,01:38:11,1.45,2.78,267,9,3,50%,82%,48%,65%,171,45%,53%,48%,226,5,2,61%,55%,47%,52%,138,18%,52%,35%
25,Qatar ExxonMobil Open,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Roberto Bautista Agut,Matteo Berrettini,24,54,6,1,6,4,,,,,,,2,0,Completed,01:09:20,1.35,3.30,318,3,2,67%,79%,71%,76%,235,39%,59%,47%,229,4,1,62%,61%,41%,53%,50,21%,29%,24%
26,Qatar ExxonMobil Open,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Fernando Verdasco,Paolo Lorenzi,28,109,6,3,6,4,,,,,,,2,0,Completed,01:29:18,1.24,4.17,272,9,0,67%,83%,33%,67%,180,48%,52%,49%,215,2,1,58%,53%,48%,51%,204,17%,67%,33%
27,Qatar ExxonMobil Open,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Tomas Berdych,Philipp Kohlschreiber,71,34,6,4,7,6,,,,,,,2,0,Completed,01:42:16,2.56,1.55,288,6,1,59%,77%,57%,68%,144,21%,55%,36%,262,3,4,58%,79%,45%,64%,125,23%,43%,32%
28,Qatar ExxonMobil Open,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Nicolas Jarry,Robin Haase,43,50,6,7,6,4,7,6,,,,,2,1,Completed,02:38:23,2.07,1.77,302,12,1,70%,68%,65%,67%,129,27%,42%,32%,289,12,5,69%,73%,58%,68%,100,32%,35%,33%
29,Qatar ExxonMobil Open,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Maximilian Marterer,Peter Gojowczyk,74,59,6,1,6,4,,,,,,,2,0,Completed,00:55:48,2.11,1.74,324,8,0,71%,88%,57%,79%,167,30%,57%,42%,231,6,4,54%,70%,43%,58%,55,12%,43%,21%
30,Qatar ExxonMobil Open,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Andrey Rublev,Andreas Seppi,68,37,7,5,6,1,,,,,,,2,0,Completed,01:15:45,1.50,2.62,273,10,3,51%,73%,62%,68%,203,37%,69%,51%,198,5,2,57%,63%,31%,49%,125,27%,38%,32%
31,Qatar ExxonMobil Open,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Maximilian Marterer,Marco Trungelliti,74,123,4,6,6,4,7,5,,,,,2,1,Completed,02:12:44,1.42,2.80,298,5,3,73%,76%,54%,70%,185,32%,41%,36%,274,8,3,55%,68%,59%,64%,89,24%,46%,30%
32,Qatar ExxonMobil Open,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Sergiy Stakhovsky,Mirza Basic,134,87,3,6,6,2,6,3,,,,,2,1,Completed,01:33:36,1.93,1.83,288,8,5,63%,89%,41%,71%,140,31%,43%,35%,271,7,3,65%,69%,57%,65%,127,11%,59%,29%
33,Qatar ExxonMobil Open,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Guillermo Garcia-Lopez,Marcos Baghdatis,105,124,4,6,6,2,6,4,,,,,2,1,Completed,02:09:39,2.03,1.75,276,2,0,59%,67%,63%,65%,153,28%,53%,38%,255,5,3,63%,72%,47%,63%,124,33%,37%,35%
34,Qatar ExxonMobil Open,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Ricardas Berankis,Paolo Lorenzi,116,109,6,4,7,6,,,,,,,2,0,Completed,01:54:05,1.55,2.41,289,5,1,59%,77%,59%,70%,144,29%,68%,40%,256,2,0,70%,71%,32%,60%,93,23%,41%,30%
35,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Maximilian Marterer,Andrea Arnaboldi,74,176,3,6,6,2,6,3,,,,,2,1,Completed,01:39:38,1.25,3.82,310,12,0,73%,80%,61%,75%,152,37%,45%,41%,239,1,2,53%,63%,55%,59%,141,20%,39%,25%
36,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Mirza Basic,Matthias Bachinger,87,130,6,3,6,3,,,,,,,2,0,Completed,01:08:31,1.95,1.80,281,1,1,57%,72%,64%,69%,174,41%,56%,47%,218,5,3,58%,59%,44%,53%,175,28%,36%,31%
37,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Guillermo Garcia-Lopez,James Ward,105,186,7,6,6,2,,,,,,,2,0,Completed,01:51:53,1.39,2.85,277,5,3,56%,83%,46%,67%,146,31%,58%,42%,241,3,1,58%,69%,42%,58%,106,17%,54%,33%
38,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Paolo Lorenzi,Jabor Al-Mutawa,109,N/A,6,1,6,0,,,,,,,2,0,Completed,01:00:28,1.01,15.35,291,6,3,44%,83%,61%,71%,252,54%,65%,58%,160,1,5,67%,46%,35%,42%,56,17%,39%,29%
39,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Ricardas Berankis,Dennis Novak,116,140,6,4,6,3,,,,,,,2,0,Completed,01:32:58,1.99,1.79,269,3,1,59%,56%,75%,64%,202,45%,57%,50%,205,2,5,60%,55%,43%,50%,131,44%,25%,36%
40,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Marco Trungelliti,Mousa Shanan Zayed,123,N/A,6,0,6,1,,,,,,,2,0,Completed,00:41:00,1.01,16.40,333,3,1,79%,77%,75%,76%,297,65%,78%,69%,145,0,2,74%,35%,22%,31%,48,23%,25%,24%
41,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Marcos Baghdatis,Lukas Rosol,124,142,6,0,7,6,,,,,,,2,0,Completed,01:26:15,1.84,1.93,294,9,3,49%,85%,54%,70%,169,36%,50%,41%,242,3,3,62%,64%,50%,59%,61,15%,46%,30%
42,Qatar ExxonMobil Open,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Sergiy Stakhovsky,Gian Marco Moroni,134,226,7,6,7,5,,,,,,,2,0,Completed,01:35:36,1.25,3.70,287,3,2,69%,78%,48%,69%,114,22%,43%,31%,273,2,5,58%,78%,57%,69%,115,22%,52%,31%
43,Brisbane International,1/6/2019,ATP250,Outdoor,Hard,Final,3,Kei Nishikori,Daniil Medvedev,9,16,6,4,3,6,6,2,,,,,2,1,Completed,02:04:39,1.61,2.37,255,3,3,57%,70%,52%,62%,162,37%,57%,46%,226,8,6,54%,63%,43%,54%,151,30%,48%,38%
44,Brisbane International,1/5/2019,ATP250,Outdoor,Hard,Semifinals,3,Kei Nishikori,Jeremy Chardy,9,40,6,2,6,2,,,,,,,2,0,Completed,01:06:35,1.18,5.18,313,2,2,70%,79%,64%,74%,242,44%,68%,54%,204,10,3,59%,56%,32%,46%,57,21%,36%,26%
45,Brisbane International,1/5/2019,ATP250,Outdoor,Hard,Semifinals,3,Daniil Medvedev,Jo-Wilfried Tsonga,16,239,7,6,6,2,,,,,,,2,0,Completed,01:22:58,1.67,2.25,321,10,1,63%,85%,74%,81%,156,31%,72%,44%,250,17,2,68%,69%,28%,56%,151,15%,26%,19%
46,Brisbane International,1/4/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Daniil Medvedev,Milos Raonic,16,18,6,7,6,3,6,4,,,,,2,1,Completed,02:09:09,2.05,1.80,313,12,3,65%,71%,68%,70%,131,18%,50%,31%,302,29,5,60%,82%,50%,69%,61,29%,32%,30%
47,Brisbane International,1/4/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Jo-Wilfried Tsonga,Alex de Minaur,239,31,6,4,7,6,,,,,,,2,0,Completed,01:46:11,2.45,1.58,302,12,2,63%,79%,60%,72%,145,37%,57%,42%,260,1,2,74%,63%,43%,58%,90,21%,40%,28%
48,Brisbane International,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Kei Nishikori,Grigor Dimitrov,9,19,7,5,7,5,,,,,,,2,0,Completed,01:40:11,1.66,2.28,328,5,2,80%,79%,75%,78%,140,30%,52%,38%,262,8,5,66%,70%,48%,63%,154,21%,25%,22%
49,Brisbane International,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Jeremy Chardy,Yasutaka Uchiyama,40,185,6,4,3,6,7,6,,,,,2,1,Completed,02:07:28,1.62,2.35,265,10,8,62%,76%,50%,66%,129,26%,50%,36%,270,12,6,60%,74%,50%,64%,149,24%,50%,34%
50,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Kei Nishikori,Denis Kudla,9,63,7,5,6,2,,,,,,,2,0,Completed,01:19:36,1.17,5.19,309,7,2,57%,84%,63%,75%,168,28%,67%,43%,237,5,3,60%,72%,33%,57%,54,16%,38%,25%
51,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Yasutaka Uchiyama,Kyle Edmund,185,14,7,6,6,4,,,,,,,2,0,Completed,01:33:46,4.32,1.23,316,15,0,64%,85%,52%,73%,133,30%,44%,35%,289,7,1,67%,70%,56%,65%,63,15%,48%,27%
52,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Daniil Medvedev,Andy Murray,16,240,7,5,6,2,,,,,,,2,0,Completed,01:21:41,1.87,1.94,311,16,2,63%,79%,65%,74%,205,31%,67%,43%,232,6,1,65%,69%,33%,57%,166,21%,35%,26%
53,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Milos Raonic,Miomir Kecmanovic,18,131,6,3,7,6,,,,,,,2,0,Completed,01:22:49,1.21,4.55,342,21,3,74%,87%,63%,81%,112,36%,33%,35%,286,3,0,62%,64%,67%,65%,51,13%,38%,19%
54,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Grigor Dimitrov,John Millman,19,38,6,3,6,4,,,,,,,2,0,Completed,01:28:13,1.44,2.85,263,6,2,56%,77%,46%,63%,196,51%,44%,49%,227,1,1,67%,49%,56%,51%,147,23%,54%,37%
55,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Alex de Minaur,Jordan Thompson,31,72,6,4,6,2,,,,,,,2,0,Completed,01:20:54,1.39,3.10,327,1,1,78%,76%,73%,76%,188,23%,82%,41%,236,5,0,70%,77%,18%,59%,51,24%,27%,24%
56,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Jeremy Chardy,Nick Kyrgios,40,35,6,7,6,2,6,3,,,,,2,1,Completed,01:39:49,3.11,1.38,332,17,5,69%,86%,65%,80%,152,19%,52%,28%,288,13,6,74%,81%,48%,73%,49,14%,35%,20%
57,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Alex de Minaur,Alexei Popyrin,31,147,6,2,6,2,,,,,,,2,0,Completed,01:00:51,1.21,4.59,280,1,2,65%,89%,40%,72%,238,42%,78%,55%,180,5,5,63%,58%,22%,45%,108,11%,60%,28%
58,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Nick Kyrgios,Ryan Harrison,35,62,7,6,5,7,7,6,,,,,2,1,Completed,02:08:21,1.44,2.83,343,44,3,67%,79%,62%,73%,55,22%,33%,26%,337,27,3,68%,78%,67%,74%,114,21%,38%,27%
59,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Jeremy Chardy,Jan-Lennard Struff,40,57,4,6,6,3,6,4,,,,,2,1,Completed,01:39:15,2.20,1.68,301,15,4,60%,77%,60%,70%,102,22%,33%,27%,293,10,2,55%,78%,67%,73%,102,23%,40%,30%
60,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Denis Kudla,Taylor Fritz,63,49,7,6,6,7,6,4,,,,,2,1,Completed,02:24:28,2.71,1.47,304,8,4,62%,79%,59%,72%,83,21%,47%,32%,303,22,4,59%,79%,53%,68%,62,21%,41%,28%
61,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Andy Murray,James Duckworth,240,234,6,3,6,4,,,,,,,2,0,Completed,01:28:07,1.35,3.29,282,6,4,59%,72%,59%,67%,199,32%,59%,43%,242,8,2,61%,68%,41%,57%,99,28%,41%,33%
62,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Jordan Thompson,Alex Bolt,72,154,6,3,6,0,,,,,,,2,0,Completed,01:17:06,1.36,3.20,288,1,2,69%,79%,54%,71%,218,48%,61%,55%,169,1,3,52%,52%,39%,45%,179,21%,46%,29%
63,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Jo-Wilfried Tsonga,Thanasi Kokkinakis,239,146,7,6,6,4,,,,,,,2,0,Completed,01:42:19,2.26,1.65,291,11,1,54%,80%,57%,70%,144,26%,33%,28%,300,3,0,75%,74%,67%,72%,105,20%,43%,30%
64,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Milos Raonic,Aljaz Bedene,18,67,6,0,6,3,,,,,,,2,0,Completed,00:47:28,1.22,4.44,343,18,0,76%,93%,56%,84%,239,47%,85%,58%,183,4,1,70%,53%,15%,42%,51,7%,44%,16%
65,Brisbane International,12/31/2018,ATP250,Outdoor,Hard,1st Round,3,Grigor Dimitrov,Yoshihito Nishioka,19,75,6,3,6,4,,,,,,,2,0,Completed,01:19:42,1.36,3.24,272,9,6,57%,86%,36%,64%,219,36%,50%,40%,250,1,1,70%,64%,50%,60%,102,14%,64%,36%
